PID,post_B2,post_B3,post_B4,post_B8,post_B11,post_B12,NBR_pre,NBR_post,dNBR
103,0.015699999406933784,0.02044999971985817,0.015850000083446503,0.16009999811649323,0.07460000365972519,0.048500001430511475,0.584482729434967,0.5349951982498169,49.4875602722168
104,0.031050000339746475,0.038100000470876694,0.04755000025033951,0.11599999666213989,0.14390000700950623,0.12585000693798065,0.4826614558696747,-0.04072776436805725,523.3892211914062
105,0.02914999984204769,0.03265000134706497,0.042149998247623444,0.11309999972581863,0.1506499946117401,0.1378999948501587,0.4499879479408264,-0.0988047644495964,548.792724609375
106,0.0142000000923872,0.021649999544024467,0.021199999377131462,0.1340000033378601,0.1023000031709671,0.09194999933242798,0.48273950815200806,0.18610313534736633,296.6363830566406
107,0.022849999368190765,0.028750000521540642,0.04414999857544899,0.09440000355243683,0.12330000102519989,0.10135000199079514,0.4924623370170593,-0.03550446033477783,527.966796875
108,0.03539999946951866,0.038350000977516174,0.048700001090765,0.0828000009059906,0.11270000040531158,0.1193000003695488,0.30580395460128784,-0.18060365319252014,486.4076232910156
109,0.010599999688565731,0.023600000888109207,0.012600000016391277,0.27000001072883606,0.07460000365972519,0.030799999833106995,0.8077132105827332,0.7952127456665039,12.500428199768066
110,0.03739999979734421,0.04365000128746033,0.05649999901652336,0.09939999878406525,0.1691499948501587,0.15925000607967377,0.3538871109485626,-0.23139379918575287,585.2809448242188
111,0.034299999475479126,0.044599998742341995,0.05380000174045563,0.1331000030040741,0.1348000019788742,0.10715000331401825,0.36261680722236633,0.10801248252391815,254.60433959960938
112,0.033399999141693115,0.03759999945759773,0.04645000025629997,0.06419999897480011,0.16750000417232513,0.19850000739097595,0.40209221839904785,-0.5112295746803284,913.32177734375
113,0.014399999752640724,0.020600000396370888,0.01655000075697899,0.14219999313354492,0.0726500004529953,0.0377499982714653,0.596084475517273,0.580439031124115,15.645477294921875
114,0.035999998450279236,0.0523499995470047,0.06080000102519989,0.21480000019073486,0.15940000116825104,0.10589999705553055,0.5805115699768066,0.33956971764564514,240.94187927246094
115,0.02879999950528145,0.04089999943971634,0.05590000003576279,0.11089999973773956,0.1590999960899353,0.13609999418258667,0.4532042443752289,-0.10202427208423615,555.228515625
116,0.02239999920129776,0.03009999915957451,0.042750000953674316,0.0799499973654747,0.13015000522136688,0.11010000109672546,0.5244635343551636,-0.1586424857378006,683.1060180664062
117,0.03355000168085098,0.03869999945163727,0.0515500009059906,0.10279999673366547,0.14110000431537628,0.12745000422000885,0.45091891288757324,-0.10705757886171341,557.9765014648438
118,0.039900001138448715,0.053300000727176666,0.07479999959468842,0.12870000302791595,0.16335000097751617,0.13989999890327454,0.637809157371521,-0.041697677224874496,679.5068359375
119,0.0710500031709671,0.09404999762773514,0.11860000342130661,0.1762000024318695,0.17890000343322754,0.15565000474452972,0.42182332277297974,0.06192556023597717,359.89776611328125
120,0.014999999664723873,0.023399999365210533,0.0210999995470047,0.18479999899864197,0.09960000216960907,0.058800000697374344,0.4735177755355835,0.517241358757019,-43.72360610961914
121,0.039900001138448715,0.04854999855160713,0.061250001192092896,0.10140000283718109,0.1412000060081482,0.13324999809265137,0.4424650967121124,-0.13573405146598816,578.1991577148438
122,0.032249998301267624,0.038600001484155655,0.051899999380111694,0.11509999632835388,0.1404999941587448,0.12229999899864197,0.5358269214630127,-0.030328571796417236,566.155517578125
123,0.016249999403953552,0.023499999195337296,0.02525000087916851,0.1137000024318695,0.08889999985694885,0.07580000162124634,0.5360134243965149,0.20000000298023224,336.013427734375
124,0.03465000167489052,0.03539999946951866,0.0523499995470047,0.14110000431537628,0.14110000431537628,0.1331000030040741,0.5678977966308594,0.029175788164138794,538.7220458984375
125,0.03220000118017197,0.038100000470876694,0.0478999987244606,0.1460999995470047,0.13805000483989716,0.11089999973773956,0.6644868850708008,0.13696497678756714,527.5219116210938
126,0.02930000051856041,0.03564999997615814,0.04405000060796738,0.10949999839067459,0.1388999968767166,0.12269999831914902,0.40017032623291016,-0.05684754624962807,457.01788330078125
127,0.02239999920129776,0.026100000366568565,0.027249999344348907,0.12219999730587006,0.10544999688863754,0.07639999687671661,0.28966400027275085,0.2306143045425415,59.049686431884766
128,0.028550000861287117,0.037300001829862595,0.04349999874830246,0.10944999754428864,0.1538500040769577,0.1395999938249588,0.42414557933807373,-0.12106001377105713,545.2056274414062
129,0.05824999883770943,0.0831499993801117,0.11089999973773956,0.16500000655651093,0.15850000083446503,0.13809999823570251,0.5859119296073914,0.08874961733818054,497.1623229980469
130,0.017650000751018524,0.023800000548362732,0.027550000697374344,0.13449999690055847,0.10320000350475311,0.08630000054836273,0.3288590610027313,0.2182970941066742,110.56196594238281
131,0.023900000378489494,0.030799999833106995,0.03959999978542328,0.08479999750852585,0.11794999986886978,0.11940000206232071,0.48339298367500305,-0.16944174468517303,652.834716796875
