FID,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
54,0.033399999141693115,0.0551999993622303,0.06159999966621399,0.10480000078678131,0.16979999840259552,0.19550000131130219,0.23440000414848328,0.2305999994277954,0.22949999570846558,0.12929999828338623,0.5837838053703308,0.28897443413734436,-0.6187845468521118,0.3820754885673523,0.04168901965022087
55,0.020600000396370888,0.0393499992787838,0.031050000339746475,0.06159999966621399,0.181099995970726,0.21924999356269836,0.21580000221729279,0.23944999277591705,0.13740000128746033,0.0799499973654747,0.7484301924705505,0.4593406617641449,-0.6915540099143982,0.5558760166168213,-0.16783994436264038
56,0.03830000013113022,0.05040000006556511,0.07114999741315842,0.08474999666213989,0.09165000170469284,0.10140000283718109,0.11140000075101852,0.12285000085830688,0.22519999742507935,0.14114999771118164,0.2204875648021698,-0.11779844760894775,-0.3770086467266083,0.13586543500423431,0.3287747800350189
57,0.031599998474121094,0.06539999693632126,0.06840000301599503,0.1339000016450882,0.30329999327659607,0.34200000762939453,0.3808000087738037,0.39989998936653137,0.2117999941110611,0.10980000346899033,0.6954585909843445,0.5523848533630371,-0.7068579196929932,0.47969692945480347,-0.19087497889995575
58,0.05139999836683273,0.06260000169277191,0.0803999975323677,0.09860000014305115,0.1116499975323677,0.12080000340938568,0.11739999800920486,0.14030000567436218,0.24289999902248383,0.16680000722408295,0.18705764412879944,-0.17382128536701202,-0.30444443225860596,0.08703702688217163,0.31396058201789856
59,0.03420000150799751,0.049550000578165054,0.05700000002980232,0.07814999669790268,0.11535000056028366,0.1315000057220459,0.15109999477863312,0.16044999659061432,0.20520000159740448,0.13465000689029694,0.4521864354610443,0.05756776034832001,-0.5061051249504089,0.31821155548095703,0.17184358835220337
60,0.045899998396635056,0.06315000355243683,0.07935000211000443,0.1164499968290329,0.14014999568462372,0.15584999322891235,0.1518000066280365,0.17919999361038208,0.28870001435279846,0.17890000343322754,0.31343284249305725,-0.08194737136363983,-0.41242149472236633,0.13178008794784546,0.30110472440719604
61,0.05869999900460243,0.08449999988079071,0.11339999735355377,0.1639000028371811,0.22464999556541443,0.2587999999523163,0.2782000005245209,0.304749995470047,0.26820001006126404,0.15649999678134918,0.4208376109600067,0.2799631953239441,-0.5340501666069031,0.25853878259658813,0.062212955206632614
62,0.04430000111460686,0.0608999989926815,0.07100000232458115,0.09139999747276306,0.1177000030875206,0.13009999692440033,0.14970000088214874,0.15330000221729279,0.23399999737739563,0.15684999525547028,0.35659265518188477,-0.02332407236099243,-0.4216524362564087,0.24180839955806732,0.22244487702846527
63,0.041600000113248825,0.07660000026226044,0.06419999897480011,0.15620000660419464,0.3587999939918518,0.4244000017642975,0.4580000042915344,0.47870001196861267,0.22280000150203705,0.11540000140666962,0.7541171908378601,0.5974886417388916,-0.7134305834770203,0.49137088656425476,-0.27027714252471924
